Image,Mean IoU,Pixel Accuracy (%)
10233,0.1125,78.77
10452,0.1453,47.14
10901,0.0642,37.8
119,0.027,16.24
13415,0.0282,17.64
15573,0.0551,36.61
16453,0.1327,79.94
19627,0.0981,8.22
20187,0.1159,56.63
21023,0.0913,60.81
21717,0.1729,70.58
2334,0.1377,91.89
24813,0.0548,26.14
26261,0.1076,59.85
266,0.1385,95.9
27460,0.0959,50.56
2774,0.0031,1.71
28559,0.1646,74.85
28689,0.064,21.08
28935,0.0443,7.46
29419,0.1309,90.64
33262,0.1716,84.95
33573,0.0828,55.68
34330,0.1263,85.09
34359,0.0728,38.86
34567,0.03,19.22
3484,0.0909,45.78
36183,0.1212,84.82
37586,0.2258,78.02
37755,0.1764,97.02
606,0.1489,51.96
6399,0.065,33.47
7791,0.1226,79.83
7892,0.1089,10.59
7906,0.0986,55.94
855,0.1326,10.54
